dataset,Base Model CNN gray128,Base Model CNN gray16,Base Model CNN gray256,Base Model CNN gray32,Base Model CNN gray64,Base Model CNN gray8,Base Model CNN rgb
cifar100_coarse_gray_128,0.223,0.2186,0.21100000000000002,0.2166,0.2237,0.2132,0.2124
cifar100_coarse_gray_16,0.2126,0.2069,0.2059,0.1972,0.2046,0.2112,0.1813
cifar100_coarse_gray_256,0.217,0.2057,0.2061,0.2193,0.2248,0.2043,0.19899999999999998
cifar100_coarse_gray_32,0.2152,0.203,0.1928,0.2138,0.2285,0.2052,0.2058
cifar100_coarse_gray_64,0.2221,0.19699999999999998,0.2115,0.2151,0.2273,0.2052,0.2077
cifar100_coarse_gray_8,0.1876,0.1968,0.1622,0.1804,0.18100000000000002,0.1919,0.1672
cifar100_coarse_rgb_256,0.217,0.2057,0.2061,0.2193,0.2248,0.2043,0.2174
cifar100_fine_gray_128,0.1222,0.1318,0.1195,0.1327,0.1359,0.1325,0.1228
cifar100_fine_gray_16,0.115,0.1247,0.1089,0.1234,0.1209,0.1299,0.1142
cifar100_fine_gray_256,0.1267,0.121,0.1236,0.1319,0.1339,0.1296,0.1238
cifar100_fine_gray_32,0.1262,0.1244,0.1222,0.1338,0.1389,0.13,0.1193
cifar100_fine_gray_64,0.1229,0.1287,0.1179,0.1368,0.1279,0.1293,0.1253
cifar100_fine_gray_8,0.0952,0.0991,0.0938,0.1065,0.1005,0.1162,0.0982
cifar100_fine_rgb_256,0.1267,0.121,0.1236,0.1319,0.1339,0.1296,0.1281
cifar10_gray_128,0.8161,0.8204,0.8153,0.8248,0.8187,0.8053,0.7687
cifar10_gray_16,0.7855,0.8026,0.78,0.795,0.7842,0.8029999999999999,0.7299
cifar10_gray_256,0.8154,0.8216,0.8162,0.82,0.8233,0.8009,0.768
cifar10_gray_32,0.8119,0.8166,0.8105,0.8194,0.8129,0.8023,0.7637
cifar10_gray_64,0.8171,0.8185,0.8164,0.8248,0.821,0.8027,0.7665
cifar10_gray_8,0.7135,0.7427,0.7038,0.7156,0.7135,0.7731,0.655
cifar10_rgb_256,0.8154,0.8216,0.8162,0.82,0.8233,0.8009,0.8422
fashion_mnist_gray_128,0.6294,0.6498,0.6135,0.6152,0.5984,0.6852,0.6355
fashion_mnist_gray_16,0.6209,0.6446,0.6226,0.6413,0.6401,0.6731,0.624
fashion_mnist_gray_256,0.6159,0.623,0.6296,0.6406,0.638,0.6616,0.634
fashion_mnist_gray_32,0.621,0.6387,0.6484,0.6324,0.63,0.6669,0.6199
fashion_mnist_gray_64,0.6254,0.5947,0.6485,0.6404,0.6307,0.6759,0.6292
fashion_mnist_gray_8,0.5977,0.6233,0.5767,0.6379,0.5776,0.6366,0.6113
fashion_mnist_rgb_256,0.6159,0.623,0.6296,0.6406,0.638,0.6616,0.62
