model,dataset,clf,color_space,n_colors,test_loss,test_acc
all_conv_cifar10_gray128.h5,cifar10,cnn,gray,256,0.576095694732666,0.8154
all_conv_cifar10_gray128.h5,cifar10,lr,gray,256,-,0.8185
all_conv_cifar10_gray128.h5,cifar10,cnn,gray,128,0.577455640387535,0.8158
all_conv_cifar10_gray128.h5,cifar10,lr,gray,128,-,0.8166
all_conv_cifar10_gray128.h5,cifar10,cnn,gray,64,0.5870494597911835,0.8124
all_conv_cifar10_gray128.h5,cifar10,lr,gray,64,-,0.8166
all_conv_cifar10_gray128.h5,cifar10,cnn,gray,32,0.6344659290313721,0.7993
all_conv_cifar10_gray128.h5,cifar10,lr,gray,32,-,0.8079
all_conv_cifar10_gray128.h5,cifar10,cnn,gray,16,0.8093058574676514,0.7517
all_conv_cifar10_gray128.h5,cifar10,lr,gray,16,-,0.7832
all_conv_cifar10_gray128.h5,cifar10,cnn,gray,8,1.2207704307556153,0.6467
all_conv_cifar10_gray128.h5,cifar10,lr,gray,8,-,0.711
all_conv_cifar10_gray16.h5,cifar10,cnn,gray,256,0.5890051319122315,0.8072
all_conv_cifar10_gray16.h5,cifar10,lr,gray,256,-,0.8192
all_conv_cifar10_gray16.h5,cifar10,cnn,gray,128,0.590204750919342,0.8062
all_conv_cifar10_gray16.h5,cifar10,lr,gray,128,-,0.8174
all_conv_cifar10_gray16.h5,cifar10,cnn,gray,64,0.5917161271095276,0.8072
all_conv_cifar10_gray16.h5,cifar10,lr,gray,64,-,0.817
all_conv_cifar10_gray16.h5,cifar10,cnn,gray,32,0.6060316838741302,0.8028
all_conv_cifar10_gray16.h5,cifar10,lr,gray,32,-,0.8134
all_conv_cifar10_gray16.h5,cifar10,cnn,gray,16,0.6923013989448548,0.7734
all_conv_cifar10_gray16.h5,cifar10,lr,gray,16,-,0.8013
all_conv_cifar10_gray16.h5,cifar10,cnn,gray,8,1.0430899390220643,0.6808
all_conv_cifar10_gray16.h5,cifar10,lr,gray,8,-,0.7464
all_conv_cifar10_gray256.h5,cifar10,cnn,gray,256,0.545777956032753,0.8201
all_conv_cifar10_gray256.h5,cifar10,lr,gray,256,-,0.8291
all_conv_cifar10_gray256.h5,cifar10,cnn,gray,128,0.5473070878982544,0.8199
all_conv_cifar10_gray256.h5,cifar10,lr,gray,128,-,0.8284
all_conv_cifar10_gray256.h5,cifar10,cnn,gray,64,0.5512827302932739,0.8179
all_conv_cifar10_gray256.h5,cifar10,lr,gray,64,-,0.8275
all_conv_cifar10_gray256.h5,cifar10,cnn,gray,32,0.5858594932079315,0.8068
all_conv_cifar10_gray256.h5,cifar10,lr,gray,32,-,0.8197
all_conv_cifar10_gray256.h5,cifar10,cnn,gray,16,0.7191726611614228,0.7614
all_conv_cifar10_gray256.h5,cifar10,lr,gray,16,-,0.7873
all_conv_cifar10_gray256.h5,cifar10,cnn,gray,8,1.064463969039917,0.6661
all_conv_cifar10_gray256.h5,cifar10,lr,gray,8,-,0.7189
all_conv_cifar10_gray32.h5,cifar10,cnn,gray,256,0.5952861479520798,0.8087
all_conv_cifar10_gray32.h5,cifar10,lr,gray,256,-,0.8152
all_conv_cifar10_gray32.h5,cifar10,cnn,gray,128,0.5973483142852783,0.8067
all_conv_cifar10_gray32.h5,cifar10,lr,gray,128,-,0.8165
all_conv_cifar10_gray32.h5,cifar10,cnn,gray,64,0.604357355427742,0.8045
all_conv_cifar10_gray32.h5,cifar10,lr,gray,64,-,0.8147
all_conv_cifar10_gray32.h5,cifar10,cnn,gray,32,0.6473984552383423,0.7906
all_conv_cifar10_gray32.h5,cifar10,lr,gray,32,-,0.8086
all_conv_cifar10_gray32.h5,cifar10,cnn,gray,16,0.8485127638816834,0.7375
all_conv_cifar10_gray32.h5,cifar10,lr,gray,16,-,0.7821
all_conv_cifar10_gray32.h5,cifar10,cnn,gray,8,1.2176197528839112,0.6356
all_conv_cifar10_gray32.h5,cifar10,lr,gray,8,-,0.7026
all_conv_cifar10_gray64.h5,cifar10,cnn,gray,256,0.5893510098457336,0.805
all_conv_cifar10_gray64.h5,cifar10,lr,gray,256,-,0.8161
all_conv_cifar10_gray64.h5,cifar10,cnn,gray,128,0.5906665084838867,0.803
all_conv_cifar10_gray64.h5,cifar10,lr,gray,128,-,0.8166
all_conv_cifar10_gray64.h5,cifar10,cnn,gray,64,0.5981614678382874,0.8012
all_conv_cifar10_gray64.h5,cifar10,lr,gray,64,-,0.8159
all_conv_cifar10_gray64.h5,cifar10,cnn,gray,32,0.6389383566379547,0.7899
all_conv_cifar10_gray64.h5,cifar10,lr,gray,32,-,0.8061
all_conv_cifar10_gray64.h5,cifar10,cnn,gray,16,0.7809257245540618,0.7485
all_conv_cifar10_gray64.h5,cifar10,lr,gray,16,-,0.7822
all_conv_cifar10_gray64.h5,cifar10,cnn,gray,8,1.1088989184379578,0.6591
all_conv_cifar10_gray64.h5,cifar10,lr,gray,8,-,0.7127
all_conv_cifar10_gray8.h5,cifar10,cnn,gray,256,0.616863663482666,0.7926
all_conv_cifar10_gray8.h5,cifar10,lr,gray,256,-,0.803
all_conv_cifar10_gray8.h5,cifar10,cnn,gray,128,0.6163552991867065,0.7929
all_conv_cifar10_gray8.h5,cifar10,lr,gray,128,-,0.802
all_conv_cifar10_gray8.h5,cifar10,cnn,gray,64,0.6155597433567047,0.7938
all_conv_cifar10_gray8.h5,cifar10,lr,gray,64,-,0.8031
