model,dataset,clf,color_space,n_colors,test_loss,test_acc
all_conv_cifar10_gray128.h5,cifar100_coarse,lr,gray,256,-,0.21
all_conv_cifar10_gray128.h5,cifar100_coarse,lr,gray,128,-,0.2054
all_conv_cifar10_gray128.h5,cifar100_coarse,lr,gray,64,-,0.2062
all_conv_cifar10_gray128.h5,cifar100_coarse,lr,gray,32,-,0.2048
all_conv_cifar10_gray128.h5,cifar100_coarse,lr,gray,16,-,0.1905
all_conv_cifar10_gray128.h5,cifar100_coarse,lr,gray,8,-,0.1775
all_conv_cifar10_gray16.h5,cifar100_coarse,lr,gray,256,-,0.201
all_conv_cifar10_gray16.h5,cifar100_coarse,lr,gray,128,-,0.2104
all_conv_cifar10_gray16.h5,cifar100_coarse,lr,gray,64,-,0.2245
all_conv_cifar10_gray16.h5,cifar100_coarse,lr,gray,32,-,0.2121
all_conv_cifar10_gray16.h5,cifar100_coarse,lr,gray,16,-,0.2217
all_conv_cifar10_gray16.h5,cifar100_coarse,lr,gray,8,-,0.2084
all_conv_cifar10_gray256.h5,cifar100_coarse,lr,gray,256,-,0.2071
all_conv_cifar10_gray256.h5,cifar100_coarse,lr,gray,128,-,0.2127
all_conv_cifar10_gray256.h5,cifar100_coarse,lr,gray,64,-,0.2271
all_conv_cifar10_gray256.h5,cifar100_coarse,lr,gray,32,-,0.2233
all_conv_cifar10_gray256.h5,cifar100_coarse,lr,gray,16,-,0.2097
all_conv_cifar10_gray256.h5,cifar100_coarse,lr,gray,8,-,0.188
all_conv_cifar10_gray32.h5,cifar100_coarse,lr,gray,256,-,0.2127
all_conv_cifar10_gray32.h5,cifar100_coarse,lr,gray,128,-,0.1933
all_conv_cifar10_gray32.h5,cifar100_coarse,lr,gray,64,-,0.2148
all_conv_cifar10_gray32.h5,cifar100_coarse,lr,gray,32,-,0.2075
all_conv_cifar10_gray32.h5,cifar100_coarse,lr,gray,16,-,0.205
all_conv_cifar10_gray32.h5,cifar100_coarse,lr,gray,8,-,0.1893
all_conv_cifar10_gray64.h5,cifar100_coarse,lr,gray,256,-,0.2246
all_conv_cifar10_gray64.h5,cifar100_coarse,lr,gray,128,-,0.2162
all_conv_cifar10_gray64.h5,cifar100_coarse,lr,gray,64,-,0.2096
all_conv_cifar10_gray64.h5,cifar100_coarse,lr,gray,32,-,0.1992
all_conv_cifar10_gray64.h5,cifar100_coarse,lr,gray,16,-,0.2117
all_conv_cifar10_gray64.h5,cifar100_coarse,lr,gray,8,-,0.1885
all_conv_cifar10_gray8.h5,cifar100_coarse,lr,gray,256,-,0.2035
all_conv_cifar10_gray8.h5,cifar100_coarse,lr,gray,128,-,0.2068
all_conv_cifar10_gray8.h5,cifar100_coarse,lr,gray,64,-,0.213
all_conv_cifar10_gray8.h5,cifar100_coarse,lr,gray,32,-,0.2104
all_conv_cifar10_gray8.h5,cifar100_coarse,lr,gray,16,-,0.201
all_conv_cifar10_gray8.h5,cifar100_coarse,lr,gray,8,-,0.1917
all_conv_cifar10_rgb.h5,cifar100_coarse,lr,rgb,256,-,0.2141
all_conv_cifar10_rgb.h5,cifar100_coarse,lr,gray,256,-,0.1936
