model,dataset,clf,color_space,n_colors,test_loss,test_acc
all_conv_cifar10_gray128.h5,cifar100_fine,lr,gray,256,-,0.1241
all_conv_cifar10_gray128.h5,cifar100_fine,lr,gray,128,-,0.1226
all_conv_cifar10_gray128.h5,cifar100_fine,lr,gray,64,-,0.1218
all_conv_cifar10_gray128.h5,cifar100_fine,lr,gray,32,-,0.1166
all_conv_cifar10_gray128.h5,cifar100_fine,lr,gray,16,-,0.1127
all_conv_cifar10_gray128.h5,cifar100_fine,lr,gray,8,-,0.0914
all_conv_cifar10_gray16.h5,cifar100_fine,lr,gray,256,-,0.1323
all_conv_cifar10_gray16.h5,cifar100_fine,lr,gray,128,-,0.1286
all_conv_cifar10_gray16.h5,cifar100_fine,lr,gray,64,-,0.1363
all_conv_cifar10_gray16.h5,cifar100_fine,lr,gray,32,-,0.1368
all_conv_cifar10_gray16.h5,cifar100_fine,lr,gray,16,-,0.1291
all_conv_cifar10_gray16.h5,cifar100_fine,lr,gray,8,-,0.1044
all_conv_cifar10_gray256.h5,cifar100_fine,lr,gray,256,-,0.1378
all_conv_cifar10_gray256.h5,cifar100_fine,lr,gray,128,-,0.1469
all_conv_cifar10_gray256.h5,cifar100_fine,lr,gray,64,-,0.1376
all_conv_cifar10_gray256.h5,cifar100_fine,lr,gray,32,-,0.142
all_conv_cifar10_gray256.h5,cifar100_fine,lr,gray,16,-,0.1296
all_conv_cifar10_gray256.h5,cifar100_fine,lr,gray,8,-,0.1083
all_conv_cifar10_gray32.h5,cifar100_fine,lr,gray,256,-,0.138
all_conv_cifar10_gray32.h5,cifar100_fine,lr,gray,128,-,0.1324
all_conv_cifar10_gray32.h5,cifar100_fine,lr,gray,64,-,0.129
all_conv_cifar10_gray32.h5,cifar100_fine,lr,gray,32,-,0.1272
all_conv_cifar10_gray32.h5,cifar100_fine,lr,gray,16,-,0.1253
all_conv_cifar10_gray32.h5,cifar100_fine,lr,gray,8,-,0.1003
all_conv_cifar10_gray64.h5,cifar100_fine,lr,gray,256,-,0.1333
all_conv_cifar10_gray64.h5,cifar100_fine,lr,gray,128,-,0.1379
all_conv_cifar10_gray64.h5,cifar100_fine,lr,gray,64,-,0.1339
all_conv_cifar10_gray64.h5,cifar100_fine,lr,gray,32,-,0.1389
all_conv_cifar10_gray64.h5,cifar100_fine,lr,gray,16,-,0.1227
all_conv_cifar10_gray64.h5,cifar100_fine,lr,gray,8,-,0.107
all_conv_cifar10_gray8.h5,cifar100_fine,lr,gray,256,-,0.1312
all_conv_cifar10_gray8.h5,cifar100_fine,lr,gray,128,-,0.1246
all_conv_cifar10_gray8.h5,cifar100_fine,lr,gray,64,-,0.1282
all_conv_cifar10_gray8.h5,cifar100_fine,lr,gray,32,-,0.1262
all_conv_cifar10_gray8.h5,cifar100_fine,lr,gray,16,-,0.1276
all_conv_cifar10_gray8.h5,cifar100_fine,lr,gray,8,-,0.1215
all_conv_cifar10_rgb.h5,cifar100_fine,lr,rgb,256,-,0.1126
all_conv_cifar10_rgb.h5,cifar100_fine,lr,gray,256,-,0.1044
all_conv_cifar10_rgb.h5,cifar100_fine,lr,gray,128,-,0.112
all_conv_cifar10_rgb.h5,cifar100_fine,lr,gray,64,-,0.1067
all_conv_cifar10_rgb.h5,cifar100_fine,lr,gray,32,-,0.1138
all_conv_cifar10_rgb.h5,cifar100_fine,lr,gray,16,-,0.1018
all_conv_cifar10_rgb.h5,cifar100_fine,lr,gray,8,-,0.083
resnet20_cifar10_gray128.h5,cifar100_fine,lr,gray,256,-,0.4446
resnet20_cifar10_gray128.h5,cifar100_fine,lr,gray,128,-,0.4454
resnet20_cifar10_gray128.h5,cifar100_fine,lr,gray,64,-,0.4368
resnet20_cifar10_gray128.h5,cifar100_fine,lr,gray,32,-,0.4244
resnet20_cifar10_gray128.h5,cifar100_fine,lr,gray,16,-,0.3921
resnet20_cifar10_gray128.h5,cifar100_fine,lr,gray,8,-,0.3373
resnet20_cifar10_gray16.h5,cifar100_fine,lr,gray,256,-,0.4379
resnet20_cifar10_gray16.h5,cifar100_fine,lr,gray,128,-,0.4363
resnet20_cifar10_gray16.h5,cifar100_fine,lr,gray,64,-,0.4355
resnet20_cifar10_gray16.h5,cifar100_fine,lr,gray,32,-,0.4313
resnet20_cifar10_gray16.h5,cifar100_fine,lr,gray,16,-,0.4192
resnet20_cifar10_gray16.h5,cifar100_fine,lr,gray,8,-,0.3673
resnet20_cifar10_gray256.h5,cifar100_fine,lr,gray,256,-,0.4418
resnet20_cifar10_gray256.h5,cifar100_fine,lr,gray,128,-,0.4363
resnet20_cifar10_gray256.h5,cifar100_fine,lr,gray,64,-,0.4346
resnet20_cifar10_gray256.h5,cifar100_fine,lr,gray,32,-,0.4198
resnet20_cifar10_gray256.h5,cifar100_fine,lr,gray,16,-,0.3973
resnet20_cifar10_gray256.h5,cifar100_fine,lr,gray,8,-,0.3444
resnet20_cifar10_gray32.h5,cifar100_fine,lr,gray,256,-,0.4256
resnet20_cifar10_gray32.h5,cifar100_fine,lr,gray,128,-,0.428
resnet20_cifar10_gray32.h5,cifar100_fine,lr,gray,64,-,0.4239
resnet20_cifar10_gray32.h5,cifar100_fine,lr,gray,32,-,0.4176
resnet20_cifar10_gray32.h5,cifar100_fine,lr,gray,16,-,0.3917
resnet20_cifar10_gray32.h5,cifar100_fine,lr,gray,8,-,0.3335
resnet20_cifar10_gray64.h5,cifar100_fine,lr,gray,256,-,0.4368
resnet20_cifar10_gray64.h5,cifar100_fine,lr,gray,128,-,0.4356
resnet20_cifar10_gray64.h5,cifar100_fine,lr,gray,64,-,0.4381
resnet20_cifar10_gray64.h5,cifar100_fine,lr,gray,32,-,0.4184
resnet20_cifar10_gray64.h5,cifar100_fine,lr,gray,16,-,0.3929
resnet20_cifar10_gray64.h5,cifar100_fine,lr,gray,8,-,0.3278
resnet20_cifar10_gray8.h5,cifar100_fine,lr,gray,256,-,0.4133
resnet20_cifar10_gray8.h5,cifar100_fine,lr,gray,128,-,0.4151
resnet20_cifar10_gray8.h5,cifar100_fine,lr,gray,64,-,0.4138
resnet20_cifar10_gray8.h5,cifar100_fine,lr,gray,32,-,0.41
resnet20_cifar10_gray8.h5,cifar100_fine,lr,gray,16,-,0.4049
resnet20_cifar10_gray8.h5,cifar100_fine,lr,gray,8,-,0.3804
resnet20_cifar10_rgb.h5,cifar100_fine,lr,rgb,256,-,0.4981
resnet20_cifar10_rgb.h5,cifar100_fine,lr,gray,256,-,0.4249
resnet20_cifar10_rgb.h5,cifar100_fine,lr,gray,128,-,0.4246
resnet20_cifar10_rgb.h5,cifar100_fine,lr,gray,64,-,0.4198
resnet20_cifar10_rgb.h5,cifar100_fine,lr,gray,32,-,0.4126
resnet20_cifar10_rgb.h5,cifar100_fine,lr,gray,16,-,0.3754
resnet20_cifar10_rgb.h5,cifar100_fine,lr,gray,8,-,0.3297
simple_cifar10_gray128.h5,cifar100_fine,lr,gray,256,-,0.2441
simple_cifar10_gray128.h5,cifar100_fine,lr,gray,128,-,0.2435
simple_cifar10_gray128.h5,cifar100_fine,lr,gray,64,-,0.2423
simple_cifar10_gray128.h5,cifar100_fine,lr,gray,32,-,0.2367
simple_cifar10_gray128.h5,cifar100_fine,lr,gray,16,-,0.2202
simple_cifar10_gray128.h5,cifar100_fine,lr,gray,8,-,0.1948
simple_cifar10_gray16.h5,cifar100_fine,lr,gray,256,-,0.248
simple_cifar10_gray16.h5,cifar100_fine,lr,gray,128,-,0.2499
simple_cifar10_gray16.h5,cifar100_fine,lr,gray,64,-,0.2479
simple_cifar10_gray16.h5,cifar100_fine,lr,gray,32,-,0.246
simple_cifar10_gray16.h5,cifar100_fine,lr,gray,16,-,0.2383
simple_cifar10_gray16.h5,cifar100_fine,lr,gray,8,-,0.2182
simple_cifar10_gray256.h5,cifar100_fine,lr,gray,256,-,0.2333
simple_cifar10_gray256.h5,cifar100_fine,lr,gray,128,-,0.2314
simple_cifar10_gray256.h5,cifar100_fine,lr,gray,64,-,0.2292
simple_cifar10_gray256.h5,cifar100_fine,lr,gray,32,-,0.2249
simple_cifar10_gray256.h5,cifar100_fine,lr,gray,16,-,0.21
simple_cifar10_gray256.h5,cifar100_fine,lr,gray,8,-,0.1757
simple_cifar10_gray32.h5,cifar100_fine,lr,gray,256,-,0.2555
simple_cifar10_gray32.h5,cifar100_fine,lr,gray,128,-,0.2546
simple_cifar10_gray32.h5,cifar100_fine,lr,gray,64,-,0.252
simple_cifar10_gray32.h5,cifar100_fine,lr,gray,32,-,0.2469
