model,dataset,clf,color_space,n_colors,test_loss,test_acc
all_conv_cifar10_gray128.h5,fashion_mnist-10,lr,gray,256,-,0.5092
all_conv_cifar10_gray16.h5,fashion_mnist-10,lr,gray,256,-,0.6218
all_conv_cifar10_gray256.h5,fashion_mnist-10,lr,gray,256,-,0.5438
all_conv_cifar10_gray32.h5,fashion_mnist-10,lr,gray,256,-,0.5528
all_conv_cifar10_gray64.h5,fashion_mnist-10,lr,gray,256,-,0.5407
all_conv_cifar10_gray8.h5,fashion_mnist-10,lr,gray,256,-,0.6538
all_conv_cifar10_rgb.h5,fashion_mnist-10,lr,rgb,256,-,0.555
all_conv_cifar10_rgb.h5,fashion_mnist-10,lr,gray,256,-,0.498
resnet20_cifar10_gray128.h5,fashion_mnist-10,lr,gray,256,-,0.6078
resnet20_cifar10_gray16.h5,fashion_mnist-10,lr,gray,256,-,0.7248
resnet20_cifar10_gray256.h5,fashion_mnist-10,lr,gray,256,-,0.6143
resnet20_cifar10_gray32.h5,fashion_mnist-10,lr,gray,256,-,0.6835
resnet20_cifar10_gray64.h5,fashion_mnist-10,lr,gray,256,-,0.5668
resnet20_cifar10_gray8.h5,fashion_mnist-10,lr,gray,256,-,0.6898
resnet20_cifar10_rgb.h5,fashion_mnist-10,lr,rgb,256,-,0.4567
resnet20_cifar10_rgb.h5,fashion_mnist-10,lr,gray,256,-,0.4761
simple_cifar10_gray128.h5,fashion_mnist-10,lr,gray,256,-,0.5471
simple_cifar10_gray16.h5,fashion_mnist-10,lr,gray,256,-,0.7239
simple_cifar10_gray256.h5,fashion_mnist-10,lr,gray,256,-,0.6645
simple_cifar10_gray32.h5,fashion_mnist-10,lr,gray,256,-,0.6093
simple_cifar10_gray64.h5,fashion_mnist-10,lr,gray,256,-,0.6471
simple_cifar10_gray8.h5,fashion_mnist-10,lr,gray,256,-,0.7791
simple_cifar10_rgb.h5,fashion_mnist-10,lr,rgb,256,-,0.6556
simple_cifar10_rgb.h5,fashion_mnist-10,lr,gray,256,-,0.6564
all_conv_cifar10_gray128.h5,fashion_mnist-20,lr,gray,256,-,0.3177
all_conv_cifar10_gray16.h5,fashion_mnist-20,lr,gray,256,-,0.4848
all_conv_cifar10_gray256.h5,fashion_mnist-20,lr,gray,256,-,0.3314
all_conv_cifar10_gray32.h5,fashion_mnist-20,lr,gray,256,-,0.3865
all_conv_cifar10_gray64.h5,fashion_mnist-20,lr,gray,256,-,0.3492
all_conv_cifar10_gray8.h5,fashion_mnist-20,lr,gray,256,-,0.5541
all_conv_cifar10_rgb.h5,fashion_mnist-20,lr,rgb,256,-,0.3522
all_conv_cifar10_rgb.h5,fashion_mnist-20,lr,gray,256,-,0.4024
resnet20_cifar10_gray128.h5,fashion_mnist-20,lr,gray,256,-,0.4816
resnet20_cifar10_gray16.h5,fashion_mnist-20,lr,gray,256,-,0.4609
resnet20_cifar10_gray256.h5,fashion_mnist-20,lr,gray,256,-,0.4572
resnet20_cifar10_gray32.h5,fashion_mnist-20,lr,gray,256,-,0.4374
resnet20_cifar10_gray64.h5,fashion_mnist-20,lr,gray,256,-,0.4354
resnet20_cifar10_gray8.h5,fashion_mnist-20,lr,gray,256,-,0.4225
resnet20_cifar10_rgb.h5,fashion_mnist-20,lr,rgb,256,-,0.2915
resnet20_cifar10_rgb.h5,fashion_mnist-20,lr,gray,256,-,0.2924
simple_cifar10_gray128.h5,fashion_mnist-20,lr,gray,256,-,0.3083
simple_cifar10_gray16.h5,fashion_mnist-20,lr,gray,256,-,0.4589
simple_cifar10_gray256.h5,fashion_mnist-20,lr,gray,256,-,0.4341
simple_cifar10_gray32.h5,fashion_mnist-20,lr,gray,256,-,0.3467
simple_cifar10_gray64.h5,fashion_mnist-20,lr,gray,256,-,0.361
simple_cifar10_gray8.h5,fashion_mnist-20,lr,gray,256,-,0.6396
simple_cifar10_rgb.h5,fashion_mnist-20,lr,rgb,256,-,0.4248
simple_cifar10_rgb.h5,fashion_mnist-20,lr,gray,256,-,0.4317
all_conv_cifar10_gray128.h5,fashion_mnist-30,lr,gray,256,-,0.1896
all_conv_cifar10_gray16.h5,fashion_mnist-30,lr,gray,256,-,0.3513
all_conv_cifar10_gray256.h5,fashion_mnist-30,lr,gray,256,-,0.2161
all_conv_cifar10_gray32.h5,fashion_mnist-30,lr,gray,256,-,0.2637
all_conv_cifar10_gray64.h5,fashion_mnist-30,lr,gray,256,-,0.2371
all_conv_cifar10_gray8.h5,fashion_mnist-30,lr,gray,256,-,0.4287
all_conv_cifar10_rgb.h5,fashion_mnist-30,lr,rgb,256,-,0.2662
all_conv_cifar10_rgb.h5,fashion_mnist-30,lr,gray,256,-,0.2907
resnet20_cifar10_gray128.h5,fashion_mnist-30,lr,gray,256,-,0.3141
resnet20_cifar10_gray16.h5,fashion_mnist-30,lr,gray,256,-,0.3186
resnet20_cifar10_gray256.h5,fashion_mnist-30,lr,gray,256,-,0.3324
resnet20_cifar10_gray32.h5,fashion_mnist-30,lr,gray,256,-,0.2603
resnet20_cifar10_gray64.h5,fashion_mnist-30,lr,gray,256,-,0.3148
resnet20_cifar10_gray8.h5,fashion_mnist-30,lr,gray,256,-,0.2909
resnet20_cifar10_rgb.h5,fashion_mnist-30,lr,rgb,256,-,0.2194
resnet20_cifar10_rgb.h5,fashion_mnist-30,lr,gray,256,-,0.2284
simple_cifar10_gray128.h5,fashion_mnist-30,lr,gray,256,-,0.1727
simple_cifar10_gray16.h5,fashion_mnist-30,lr,gray,256,-,0.314
