model,dataset,clf,color_space,n_colors,test_loss,test_acc
all_conv_cifar10_gray128.h5,fashion_mnist,lr,gray,256,-,0.6159
all_conv_cifar10_gray128.h5,fashion_mnist,lr,gray,128,-,0.6294
all_conv_cifar10_gray128.h5,fashion_mnist,lr,gray,64,-,0.6254
all_conv_cifar10_gray128.h5,fashion_mnist,lr,gray,32,-,0.621
all_conv_cifar10_gray128.h5,fashion_mnist,lr,gray,16,-,0.6209
all_conv_cifar10_gray128.h5,fashion_mnist,lr,gray,8,-,0.5977
all_conv_cifar10_gray16.h5,fashion_mnist,lr,gray,256,-,0.623
all_conv_cifar10_gray16.h5,fashion_mnist,lr,gray,128,-,0.6498
all_conv_cifar10_gray16.h5,fashion_mnist,lr,gray,64,-,0.5947
all_conv_cifar10_gray16.h5,fashion_mnist,lr,gray,32,-,0.6387
all_conv_cifar10_gray16.h5,fashion_mnist,lr,gray,16,-,0.6446
all_conv_cifar10_gray16.h5,fashion_mnist,lr,gray,8,-,0.6233
all_conv_cifar10_gray256.h5,fashion_mnist,lr,gray,256,-,0.6296
all_conv_cifar10_gray256.h5,fashion_mnist,lr,gray,128,-,0.6135
all_conv_cifar10_gray256.h5,fashion_mnist,lr,gray,64,-,0.6485
all_conv_cifar10_gray256.h5,fashion_mnist,lr,gray,32,-,0.6484
all_conv_cifar10_gray256.h5,fashion_mnist,lr,gray,16,-,0.6226
all_conv_cifar10_gray256.h5,fashion_mnist,lr,gray,8,-,0.5767
all_conv_cifar10_gray32.h5,fashion_mnist,lr,gray,256,-,0.6406
all_conv_cifar10_gray32.h5,fashion_mnist,lr,gray,128,-,0.6152
all_conv_cifar10_gray32.h5,fashion_mnist,lr,gray,64,-,0.6404
all_conv_cifar10_gray32.h5,fashion_mnist,lr,gray,32,-,0.6324
all_conv_cifar10_gray32.h5,fashion_mnist,lr,gray,16,-,0.6413
all_conv_cifar10_gray32.h5,fashion_mnist,lr,gray,8,-,0.6379
all_conv_cifar10_gray64.h5,fashion_mnist,lr,gray,256,-,0.638
all_conv_cifar10_gray64.h5,fashion_mnist,lr,gray,128,-,0.5984
all_conv_cifar10_gray64.h5,fashion_mnist,lr,gray,64,-,0.6307
all_conv_cifar10_gray64.h5,fashion_mnist,lr,gray,32,-,0.63
all_conv_cifar10_gray64.h5,fashion_mnist,lr,gray,16,-,0.6401
all_conv_cifar10_gray64.h5,fashion_mnist,lr,gray,8,-,0.5776
all_conv_cifar10_gray8.h5,fashion_mnist,lr,gray,256,-,0.6616
all_conv_cifar10_gray8.h5,fashion_mnist,lr,gray,128,-,0.6852
all_conv_cifar10_gray8.h5,fashion_mnist,lr,gray,64,-,0.6759
all_conv_cifar10_gray8.h5,fashion_mnist,lr,gray,32,-,0.6669
all_conv_cifar10_gray8.h5,fashion_mnist,lr,gray,16,-,0.6731
all_conv_cifar10_gray8.h5,fashion_mnist,lr,gray,8,-,0.6366
all_conv_cifar10_rgb.h5,fashion_mnist,lr,rgb,256,-,0.62
all_conv_cifar10_rgb.h5,fashion_mnist,lr,gray,256,-,0.634
all_conv_cifar10_rgb.h5,fashion_mnist,lr,gray,128,-,0.6355
all_conv_cifar10_rgb.h5,fashion_mnist,lr,gray,64,-,0.6292
all_conv_cifar10_rgb.h5,fashion_mnist,lr,gray,32,-,0.6199
all_conv_cifar10_rgb.h5,fashion_mnist,lr,gray,16,-,0.624
all_conv_cifar10_rgb.h5,fashion_mnist,lr,gray,8,-,0.6113
resnet20_cifar10_gray128.h5,fashion_mnist,lr,gray,256,-,0.8702
resnet20_cifar10_gray128.h5,fashion_mnist,lr,gray,128,-,0.8727
resnet20_cifar10_gray128.h5,fashion_mnist,lr,gray,64,-,0.8684
resnet20_cifar10_gray128.h5,fashion_mnist,lr,gray,32,-,0.8663
resnet20_cifar10_gray128.h5,fashion_mnist,lr,gray,16,-,0.8648
resnet20_cifar10_gray128.h5,fashion_mnist,lr,gray,8,-,0.8556
resnet20_cifar10_gray16.h5,fashion_mnist,lr,gray,256,-,0.8655
resnet20_cifar10_gray16.h5,fashion_mnist,lr,gray,128,-,0.8668
resnet20_cifar10_gray16.h5,fashion_mnist,lr,gray,64,-,0.8667
resnet20_cifar10_gray16.h5,fashion_mnist,lr,gray,32,-,0.8658
resnet20_cifar10_gray16.h5,fashion_mnist,lr,gray,16,-,0.8638
resnet20_cifar10_gray16.h5,fashion_mnist,lr,gray,8,-,0.8518
resnet20_cifar10_gray256.h5,fashion_mnist,lr,gray,256,-,0.8709
resnet20_cifar10_gray256.h5,fashion_mnist,lr,gray,128,-,0.8703
resnet20_cifar10_gray256.h5,fashion_mnist,lr,gray,64,-,0.8684
resnet20_cifar10_gray256.h5,fashion_mnist,lr,gray,32,-,0.8676
resnet20_cifar10_gray256.h5,fashion_mnist,lr,gray,16,-,0.8656
resnet20_cifar10_gray256.h5,fashion_mnist,lr,gray,8,-,0.8573
resnet20_cifar10_gray32.h5,fashion_mnist,lr,gray,256,-,0.8759
resnet20_cifar10_gray32.h5,fashion_mnist,lr,gray,128,-,0.8747
resnet20_cifar10_gray32.h5,fashion_mnist,lr,gray,64,-,0.8735
