dataset,ResNet-20 gray128,ResNet-20 gray16,ResNet-20 gray256,ResNet-20 gray32,ResNet-20 gray64,ResNet-20 gray8,ResNet-20 rgb
cifar100_coarse_gray_128,0.5141,0.4916,0.5054,0.5018,0.5184,0.4748,0.4837
cifar100_coarse_gray_16,0.465,0.4754,0.4504,0.4731,0.4761,0.4703,0.4378
cifar100_coarse_gray_256,0.5131,0.4955,0.5109,0.5019,0.5197,0.4785,0.4869
cifar100_coarse_gray_32,0.5022,0.4898,0.4786,0.4853,0.4933,0.4762,0.4605
cifar100_coarse_gray_64,0.5134,0.4958,0.5035,0.4967,0.5152,0.4771,0.4792
cifar100_coarse_gray_8,0.4158,0.4208,0.4076,0.413,0.4212,0.45299999999999996,0.3928
cifar100_coarse_rgb_256,0.5131,0.4955,0.5109,0.5019,0.5197,0.4785,0.5631
cifar100_fine_gray_128,0.4494,0.4315,0.4355,0.4414,0.4418,0.4165,0.4105
cifar100_fine_gray_16,0.3941,0.4145,0.3772,0.4035,0.3961,0.4022,0.3619
cifar100_fine_gray_256,0.4514,0.4355,0.4379,0.4426,0.4489,0.4157,0.4113
cifar100_fine_gray_32,0.4294,0.4264,0.4095,0.4292,0.4287,0.4094,0.3909
cifar100_fine_gray_64,0.4418,0.43200000000000005,0.4278,0.4362,0.4431,0.4125,0.4089
cifar100_fine_gray_8,0.3371,0.361,0.3302,0.3445,0.34299999999999997,0.3841,0.3184
cifar100_fine_rgb_256,0.4514,0.4355,0.4379,0.4426,0.4489,0.4157,0.4979
cifar10_gray_128,0.8728,0.8683,0.8661,0.8717,0.8727,0.8490000000000001,0.8268
cifar10_gray_16,0.8225,0.8528,0.8175,0.8393,0.8322,0.8418,0.7727
cifar10_gray_256,0.8765,0.8694,0.8661,0.873,0.8722,0.8504,0.8311
cifar10_gray_32,0.8554,0.8658,0.8496,0.8602,0.8603,0.8468,0.8111
cifar10_gray_64,0.8713,0.8714,0.8608,0.871,0.8706,0.8496,0.8263
cifar10_gray_8,0.7544,0.7937,0.7464,0.7651,0.7566,0.8226,0.6994
cifar10_rgb_256,0.8765,0.8694,0.8661,0.873,0.8722,0.8504,0.8862
fashion_mnist_gray_128,0.8727,0.8668,0.8703,0.8747,0.8690000000000001,0.8729,0.8665
fashion_mnist_gray_16,0.8648,0.8638,0.8656,0.8668,0.8621,0.8684,0.8588
fashion_mnist_gray_256,0.8702,0.8655,0.8709,0.8759,0.8715,0.8726,0.871
fashion_mnist_gray_32,0.8663,0.8658,0.8676,0.8724,0.8674,0.8706,0.8681
fashion_mnist_gray_64,0.8684,0.8667,0.8684,0.8735,0.8694,0.8718,0.8656
fashion_mnist_gray_8,0.8556,0.8518,0.8573,0.8602,0.8507,0.8595,0.8477
fashion_mnist_rgb_256,0.8702,0.8655,0.8709,0.8759,0.8715,0.8726,0.8714
